Lemmatized	Original
body_'s_natural_painkiller	body_'s_natural_painkillers
small_allergy_symptom	small_allergy_symptoms
derivative	derivatives
acute_injury	acute_injuries
basic_variation	basic_variations
human_influence	human_influences
production_disruption	production_disruptions
neurological_disease	neurological_diseases
botox_injection	botox_injections
water_in_the_ear	water_in_the_ears
postural_change	postural_changes
bladder_stone	bladder_stones
evil	evils
increased_risk	increased_risks
skin_element	skin_elements
adoption_of_policy	adoption_of_policies
smoking_while_pregnant_effect	smoking_while_pregnant_effects
swollen_eyelid	swollen_eyelids
normal_change	normal_changes
harmful_psychological_effect	harmful_psychological_effects
big_bank	big_banks
good_answer	good_answers
good_question	good_questions
larger_deficit	larger_deficits
disciplinary_action	disciplinary_actions
alcohol_or_drug	alcohol_or_drugs
feeling_of_inferiority	feelings_of_inferiority
intrinsic_stain	intrinsic_stains
financial_pressure	financial_pressures
inhaled_asbestos_fiber	inhaled_asbestos_fibers
low_potassium_level	low_potassium_levels
bee_sting	bee_stings
oral_corticosteroid	oral_corticosteroids
two_injury	two_injuries
brain_metastasis	brain_metastases
criminal_act	criminal_acts
damage_to_the_artery	damage_to_the_arteries
environmental_stress	environmental_stresses
influenza_epidemic	influenza_epidemics
new_cancer	new_cancers
damage_to_the_cell	damages_to_the_cells
damage_to_the_cell	damage_to_the_cells
perverse_incentive	perverse_incentives
minimum_wage	minimum_wages
parkinson-like_symptom	parkinson-like_symptoms
treatable_medical_condition	treatable_medical_conditions
modifiable_risk_factor	modifiable_risk_factors
feeling_of_helplessness	feelings_of_helplessness
use_of_these_drug	use_of_these_drugs
pharmaceutical_drug	pharmaceutical_drugs
bad_sector	bad_sectors
adult_death	adult_deaths
epileptic_seizure	epileptic_seizures
flashing_light	flashing_lights
muscle_to_tense	muscles_to_tense
dietary_change	dietary_changes
abnormal_gene	abnormal_genes
high_rate_of_unemployment	high_rates_of_unemployment
rainfall_pattern	rainfall_patterns
high_dose_antipsychotic	high_dose_antipsychotics
emotional_difficulty	emotional_difficulties
common_fracture	common_fractures
severe_health_risk	severe_health_risks
migration	migrations
inflammation_of_the_sebaceous_gland	inflammation_of_the_sebaceous_glands
violation_of_the_policy	violations_of_the_policy
single-gene_mutation	single-gene_mutations
balance_problem	balance_problems
limb_deformity	limb_deformities
tank	tanks
acceleration	accelerations
lead	leads
knee_injury	knee_injuries
improve_your_network_connection	improve_your_network_connections
herbal_product	herbal_products
adventure	adventures
congenital_cataract	congenital_cataracts
injustice	injustices
thermal_expansion_of_the_ocean	thermal_expansion_of_the_oceans
mole	moles
exposure_to_allergen	exposure_to_allergens
hot_rock	hot_rocks
cardiac_event	cardiac_events
breathing_of_fibre_from_asbestos	breathing_of_fibres_from_asbestos
zinc_deficiency	zinc_deficiencies
methane_emission	methane_emissions
stress_hormone	stress_hormones
ice_age	ice_ages
orbital_variation	orbital_variations
cable	cables
generation_of_reactive_oxygen_specie	generation_of_reactive_oxygen_species
substrate	substrates
dangerous_drug	dangerous_drugs
heavier_downpour	heavier_downpours
chlorofluorocarbon	chlorofluorocarbons
population_pressure	population_pressures
cardiovascular_issue	cardiovascular_issues
igg_reaction	igg_reactions
devil	devils
poorly_fitting_shoe	poorly_fitting_shoes
cervical_wart	cervical_warts
lethargy_in_muscle	lethargy_in_muscles
good_thing	good_things
pain_in_the_muscle	pain_in_the_muscles
inhalation_of_material_from_asbestos	inhalation_of_materials_from_asbestos
inflamed_muscle	inflamed_muscles
cs	css
pattern	patterns
increase_in_liver_enzyme	increase_in_liver_enzymes
scale	scales
increased_bilirubin_level	increased_bilirubin_levels
increasing_temperature	increasing_temperatures
additional_charge	additional_charges
vehicle_collision	vehicle_collisions
home_fire_death	home_fire_deaths
breathing_of_material_from_asbestos_fiber	breathing_of_materials_from_asbestos_fiber
irregular_heart_rhythm	irregular_heart_rhythms
local_complication	local_complications
lifestyle_element	lifestyle_elements
learning_problem	learning_problems
better_and_cheaper_product	better_and_cheaper_products
pet_poisoning	pet_poisonings
human_medication	human_medications
splatter	splatters
communication_impairment	communication_impairments
mercury_in_childhood_vaccine	mercury_in_childhood_vaccines
antiviral_drug	antiviral_drugs
fatal_accident	fatal_accidents
motorcycle	motorcycles
increased_yield	increased_yields
improved_variety	improved_varieties
better_price	better_prices
artificially_low_interest_rate	artificially_low_interest_rates
tax_penalty	tax_penalties
early_withdrawal	early_withdrawals
life-threatening_illness	life-threatening_illnesses
pinched_finger	pinched_fingers
moveable_component	moveable_components
security_risk	security_risks
sweat	sweats
release_of_stress_hormone	release_of_stress_hormones
medical_experiment	medical_experiments
grenade_attack	grenade_attacks
flood_in_thailand	floods_in_thailand
em	ems
physical_effect	physical_effects
ibs_symptom	ibs_symptoms
high-protein_diet	high-protein_diets
stunted_growth_in_child	stunted_growth_in_children
shrunken_thymus_gland	shrunken_thymus_glands
leukemia_in_human	leukemia_in_humans
social_and_economic_factor	social_and_economic_factors
different_strategy	different_strategies
mix_of_chemical	mix_of_chemicals
partnership	partnerships
heart_rhythm_disturbance	heart_rhythm_disturbances
rebound_headache	rebound_headaches
concession	concessions
labor_dispute	labor_disputes
headlight	headlights
higher_average_temperature	higher_average_temperatures
blind_spot	blind_spots
p._acne_bacteria	p._acnes_bacteria
social_bookmarking_website_-_polyp	social_bookmarking_website_-_polyps
difference_in_culture	differences_in_culture
persistent_condition	persistent_conditions
deposit_of	deposits_of
tiny_living_organism	tiny_living_organisms
kid	kids
quarrel	quarrels
blockage_of_the_carotid_artery	blockage_of_the_carotid_arteries
outstanding_quality	outstanding_qualities
le_scarring	less_scarring
breakdown_of_purine	breakdown_of_purines
harmful_ultraviolet_ray	harmful_ultraviolet_rays
sexual_thing	sexual_things
non-steroidal_anti-inflammatory_drug	non-steroidal_anti-inflammatory_drugs
human_burning_fossil_fuel	humans_burning_fossil_fuels
injury_to	injuries_to
endometrial_polyp	endometrial_polyps
serious_health_concern	serious_health_concerns
conventional_medication	conventional_medications
chocolate_and_greasy_food	chocolate_and_greasy_foods
health_burden	health_burdens
peril_listed_in_the_policy	perils_listed_in_the_policy
sleep_difficulty	sleep_difficulties
fat_deposit	fat_deposits
man-made_co2_emission	man-made_co2_emissions
use_of_inhalant	use_of_inhalants
increased_greenhouse_gas_emission	increased_greenhouse_gas_emissions
wide_range_of_health_problem	wide_range_of_health_problems
irritating_substance	irritating_substances
black_cat	black_cats
easier_regulation	easier_regulations
long-term_use_of_nonsteroidal_anti-inflammatory_drug	long-term_use_of_nonsteroidal_anti-inflammatory_drugs
dangerously_low_range_of_nutrient	dangerously_low_ranges_of_nutrients
reduced_oxygen_level_in_the_cellular_level	reduced_oxygen_levels_in_the_cellular_level
uv_wavelength	uv_wavelengths
dye_in_certain_fabric	dyes_in_certain_fabrics
wetland_loss	wetland_losses
heavy_fine	heavy_fines
sport_accident	sports_accidents
trampoline	trampolines
antiepileptic_drug	antiepileptic_drugs
annual_death	annual_deaths
better_product	better_products
elevated_insulin_level	elevated_insulin_levels
dry_pore_and_skin	dry_pores_and_skin
faulty_system	faulty_systems
psoriasis_flare-up	psoriasis_flare-ups
pilot	pilots
swallowing_problem	swallowing_problems
seismic_hazard	seismic_hazards
melting_of_the_polar_ice_cap	melting_of_the_polar_ice_caps
global_greenhouse_gas_emission	global_greenhouse_gas_emissions
chemical_toxin	chemical_toxins
repetitive_behavior	repetitive_behaviors
overuse_of_muscle	overuse_of_muscles
hpv_vaccine	hpv_vaccines
sunscreen	sunscreens
traffic_violation	traffic_violations
poor_diet	poor_diets
loss_of_feeling_in_the_foot	loss_of_feeling_in_the_feet
facet	facets
blood_thinner	blood_thinners
occupational_disease	occupational_diseases
complication_incident	complications_incident
moveable_part	moveable_parts
food_reaction	food_reactions
infraction	infractions
ground_movement	ground_movements
deep_excavation	deep_excavations
sunglass_to_skid_down_your_nose	sunglasses_to_skid_down_your_nose
defective_good	defective_goods
human_injury	human_injuries
adverse_consequence	adverse_consequences
lower_ldl_cholesterol_level	lower_ldl_cholesterol_levels
past_event	past_events
electric_field	electric_fields
high_food_price	high_food_prices
emission_of_co2	emissions_of_co2
forming_clot	forming_clots
food_borne_disease	food_borne_diseases
nucleotide_change	nucleotide_changes
white_spot	white_spots
prostate_problem	prostate_problems
additional_investment	additional_investments
approximation	approximations
comet_shower	comet_showers
dangerous_infection	dangerous_infections
lower_monthly_payment	lower_monthly_payments
bout	bouts
disc_problem	disc_problems
open_border	open_borders
defective_part	defective_parts
pain_reliever	pain_relievers
poor_lifestyle_choice	poor_lifestyle_choices
french_fry	french_fries
extrapyramidal_side_effect	extrapyramidal_side_effects
horrific_birth_defect	horrific_birth_defects
shock_to_the_joint	shock_to_the_joints
foodborne_disease	foodborne_diseases
man-made_disaster	man-made_disasters
increase_in_temperature	increases_in_temperature
increase_in_temperature	increase_in_temperatures
increment_of_the_gold_price	increment_of_the_gold_prices
wood_stove	wood_stoves
excess_oil	excess_oils
gum_to_recede	gums_to_recede
weak_abdominal_muscle	weak_abdominal_muscles
defendant_'_negligence	defendants_'_negligence
latent_effect	latent_effects
male_hormone	male_hormones
chemical_contaminant	chemical_contaminants
hormone_therapy_drug	hormone_therapy_drugs
client_'_injury	clients_'_injuries
human_problem	human_problems
menopause_symptom	menopause_symptoms
unbalance	unbalances
extremely_high_level	extremely_high_levels
psychological_injury	psychological_injuries
permanent_injury	permanent_injuries
transaction	transactions
physical_and_emotional_change	physical_and_emotional_changes
cancer_of_the_lining_of_the_lung	cancer_of_the_lining_of_the_lungs
fda-approved_drug	fda-approved_drugs
power_shortage	power_shortages
reward_for_tip	reward_for_tips
exposure_to_toxic_substance	exposure_to_toxic_substances
power_tool	power_tools
bloodshot_eye	bloodshot_eyes
mutation_in_single_gene	mutations_in_single_genes
nodule	nodules
motor_symptom	motor_symptoms
targeted_therapy	targeted_therapies
multiple_problem	multiple_problems
machine	machines
vaccine-preventable_disease	vaccine-preventable_diseases
projectile	projectiles
evolution_of_specie	evolution_of_species
violent_behavior_in_user	violent_behavior_in_users
large_number_of_death	large_number_of_deaths
large_number_of_death	large_numbers_of_deaths
harmful_consequence	harmful_consequences
joke	jokes
manmade_emission	manmade_emissions
repeated_concussion	repeated_concussions
blizzard	blizzards
radiation_burn	radiation_burns
heat-related_death	heat-related_deaths
alcoholic_beverage	alcoholic_beverages
dry_condition	dry_conditions
accidental_release	accidental_releases
cold_water_temperature	cold_water_temperatures
asbestos_particle	asbestos_particles
woman_dressing_immodestly	women_dressing_immodestly
divorce	divorces
fungal_infection_of_the_skin	fungal_infections_of_the_skin
high_level_of_homocysteine	high_levels_of_homocysteine
micro_tear	micro_tears
needle_tragedy	needless_tragedies
flu_virus	flu_viruses
happy_client	happy_clients
production_delay	production_delays
recurrent_headache	recurrent_headaches
narrowing_of_artery	narrowing_of_arteries
tic	tics
battle	battles
mao_’_s_policy	mao_’_s_policies
common_disease	common_diseases
coronary_artery	coronary_arteries
lung_cancer_in_nonsmoking_adult	lung_cancer_in_nonsmoking_adults
sensation	sensations
intolerance	intolerances
36,000_death	36,000_deaths
low_carbohydrate_diet	low_carbohydrate_diets
interruption_in_the_supply_of_perishable_food_product	interruptions_in_the_supply_of_perishable_food_products
firefighter_death	firefighter_deaths
blocked_sinus	blocked_sinuses
increase_in_expense	increase_in_expenses
atv_accident	atv_accidents
exposure_to_very_high_level	exposure_to_very_high_levels
rock	rocks
criticism	criticisms
mortality	mortalities
shark_attack	shark_attacks
electrical_accident	electrical_accidents
prostate_cell	prostate_cells
beverage	beverages
ulcer_in_the_stomach	ulcers_in_the_stomach
combination	combinations
1,500_death	1,500_deaths
natural_ingredient	natural_ingredients
duo_arrest	dui_arrest
compression_of_the_nerve	compression_of_the_nerves
stiffness_in_the_joint	stiffness_in_the_joints
deadly_cancer	deadly_cancers
daytime_consequence	daytime_consequences
drink	drinks
non_linear_load	non_linear_loads
bright_light	bright_lights
use_of_other_drug	use_of_other_drugs
blackout	blackouts
postural_imbalance	postural_imbalances
overuse_injury	overuse_injuries
larger_dos	larger_doses
setting_captive_free	setting_captives_free
death_in_custody	deaths_in_custody
blockage_of_blood_vessel	blockage_of_blood_vessels
higher_speed	higher_speeds
aid_in_human	aids_in_humans
amphibian_decline	amphibian_declines
structural_change	structural_changes
nitrate	nitrates
damage_to_normal_cell	damage_to_normal_cells
low_level_of_aspartic_acid	low_levels_of_aspartic_acid
acidic_food	acidic_foods
debilitating_side_effect	debilitating_side_effects
step	steps
non-cancerous_condition	non-cancerous_conditions
medium	media
unfulfilled_desire	unfulfilled_desires
harsh_ingredient	harsh_ingredients
lower_revenue	lower_revenues
atomic_bomb	atomic_bombs
construction_activity	construction_activities
terminal_illness	terminal_illnesses
serious_burn	serious_burns
seasonal_factor	seasonal_factors
quality	qualities
oxygen_free_radical	oxygen_free_radicals
mixing_drug	mixing_drugs
scarring_of_the_lining_of_the_lung	scarring_of_the_lining_of_the_lungs
thing_to_work_together	things_to_work_together
individual	individuals
various_symptom	various_symptoms
inflammation_of_the_testicle	inflammation_of_the_testicles
gale	gales
pet_accident	pet_accidents
wildland_fire	wildland_fires
monoculture	monocultures
seasonal_influenza_virus	seasonal_influenza_viruses
transient_surge_voltage	transient_surge_voltages
high_wind_speed	high_wind_speeds
coal-fired_power_plant	coal-fired_power_plants
multiple_fracture	multiple_fractures
genital_cancer	genital_cancers
series_of_raid	series_of_raids
clot_in_artery	clots_in_arteries
electrical_appliance	electrical_appliances
diet_pill	diet_pills
poor_agricultural_practice	poor_agricultural_practices
oyster	oysters
blood_vessel_to_dilate	blood_vessels_to_dilate
traffic_ticket	traffic_tickets
hair_follicle_to_shrink	hair_follicles_to_shrink
irritation	irritations
phishing_scam	phishing_scams
road_user	road_users
increase_in_cortisol_level	increase_in_cortisol_levels
tragic_result	tragic_results
faulty_good	faulty_goods
chemotherapeutic_agent	chemotherapeutic_agents
inner_ear_problem	inner_ear_problems
budget_deficit	budget_deficits
natural_remedy	natural_remedies
sport_activity	sports_activities
imbalance_of_chemical_in_the_brain	imbalance_of_chemicals_in_the_brain
eruption	eruptions
cerebrovascular_disease	cerebrovascular_diseases
hereditary_factor	hereditary_factors
high_blood_sugar	high_blood_sugars
electrical_device	electrical_devices
qualitative_change	qualitative_changes
quantitative_change	quantitative_changes
premature_wrinkle	premature_wrinkles
environmental_pollutant	environmental_pollutants
administrative_problem	administrative_problems
sun_’_s_uv_ray	sun_’_s_uv_rays
multiple_fatality	multiple_fatalities
disturbed_sleep_pattern	disturbed_sleep_patterns
hurricane_gustav	hurricanes_gustav
undulant_fever_in_human	undulant_fever_in_humans
permanent_problem	permanent_problems
permanent_filler	permanent_fillers
emission_of_the_gas	emissions_of_the_gases
dark_lip	dark_lips
common_wart	common_warts
poor_health_behavior	poor_health_behaviors
fatal_illness	fatal_illnesses
analogy	analogies
various_health_problem	various_health_problems
death_in_human	death_in_humans
mutation_in_a_single_gene	mutations_in_a_single_gene
denomination	denominations
decreased_production_of_red_and_white_blood_cell	decreased_production_of_red_and_white_blood_cells
real_water_quality_use_impairment	real_water_quality_use_impairments
pulmonary_problem	pulmonary_problems
falling_price	falling_prices
heavy_storm	heavy_storms
debris_flow	debris_flows
allele	alleles
fertility_issue	fertility_issues
new_shoe	new_shoes
tectonic_plate	tectonic_plates
prejudice	prejudices
herpes_virus	herpes_viruses
newborn_death	newborn_deaths
low_level_of_these_neurotransmitter	low_levels_of_these_neurotransmitters
essential_oil	essential_oils
material_shortage	materials_shortages
material_shortage	material_shortages
marital_difficulty	marital_difficulties
service	services
sonic_boom	sonic_booms
miasm	miasms
feeling_of_distrust	feelings_of_distrust
war_between_the_state	war_between_the_states
environmental_hazard	environmental_hazards
increase_in_carbon_dioxide	increases_in_carbon_dioxide
work-related_accident	work-related_accidents
thaw_cycle	thaw_cycles
toxic_emission	toxic_emissions
rejection	rejections
accident_at_work	accidents_at_work
awkward_posture	awkward_postures
low_level_of_antioxidant	low_levels_of_antioxidants
u	us
biomechanical_issue	biomechanical_issues
falling_wage	falling_wages
adverse_pregnancy_outcome	adverse_pregnancy_outcomes
long-term_side_effect	long-term_side_effects
signal_transduction_pathway	signal_transduction_pathways
open_sore	open_sores
innovative_solution	innovative_solutions
plastic	plastics
flavonoid	flavonoids
adverse_outcome	adverse_outcomes
melting_of_the_polar_icecap	melting_of_the_polar_icecaps
separation_of_the_abdominal_muscle	separation_of_the_abdominal_muscles
range_of_disease	range_of_diseases
200,000_hospitalization	200,000_hospitalizations
increase_in_cash_and_cash_equivalent	increase_in_cash_and_cash_equivalents
negative_outcome	negative_outcomes
desired_outcome	desired_outcomes
patent	patents
antidepressant_drug	antidepressant_drugs
doctor_visit	doctor_visits
low_temperature	low_temperatures
social_difficulty	social_difficulties
personal_bankruptcy	personal_bankruptcies
unpaid_medical_bill	unpaid_medical_bills
rut	ruts
gram-positive_organism	gram-positive_organisms
factory	factories
market_condition	market_conditions
latent_infection	latent_infections
fetal_complication	fetal_complications
mutation_in_a_gene	mutations_in_a_gene
pressure_on_the_spinal_nerve	pressure_on_the_spinal_nerves
warmer_ocean_temperature	warmer_ocean_temperatures
sinus_infection_symptom	sinus_infection_symptoms
future_job	future_jobs
important_industry_connection	important_industry_connections
pharmaceutical_medication	pharmaceutical_medications
loss_of_fluid	loss_of_fluids
scrape	scrapes
signal	signals
dark_age	dark_ages
elevated_cholesterol_level	elevated_cholesterol_levels
religious_war	religious_wars
antiphospholipid_antibody	antiphospholipid_antibodies
exposure_to_high_concentration	exposure_to_high_concentrations
respiratory_problem_in_human	respiratory_problems_in_humans
arousal	arousals
fingerprint	fingerprints
physical_disorder	physical_disorders
clear_sky	clear_skies
dermatological_condition	dermatological_conditions
vascular_malformation	vascular_malformations
runny_eye	runny_eyes
acute_renal_failure_in_dog	acute_renal_failure_in_dogs
raisin	raisins
physical_withdrawal_symptom	physical_withdrawal_symptoms
memory_change	memory_changes
physical_and_chemical_process	physical_and_chemical_processes
food-borne_pathogen	food-borne_pathogens
production_activity	production_activities
teen_driver	teen_drivers
narrowed_artery	narrowed_arteries
power_interruption	power_interruptions
catastrophic_accident	catastrophic_accidents
psychotic_episode	psychotic_episodes
chip	chips
mood_fluctuation	mood_fluctuations
uncomfortable_symptom	uncomfortable_symptoms
antipsychotic_drug	antipsychotic_drugs
anomaly	anomalies
phytochemical	phytochemicals
youth_gang	youth_gangs
leaky_pipe	leaky_pipes
damaging_the_cell	damaging_the_cells
conventional_drug	conventional_drugs
small_clot	small_clots
industry	industries
pleasure	pleasures
faulty_product	faulty_products
low_platelet_count	low_platelet_counts
systemic_problem	systemic_problems
radio_wave	radio_waves
widening_of_blood_vessel	widening_of_blood_vessels
joint_condition	joint_conditions
mild_side_effect	mild_side_effects
moment	moments
muslim	muslims
refractive_error	refractive_errors
blood_flow_to_the_muscle	blood_flow_to_the_muscles
visual_disturbance	visual_disturbances
fan	fans
fly	flies
terrorist	terrorists
plastic_bag	plastic_bags
liver_tumor	liver_tumors
genetic_cause	genetic_causes
heat_loss	heat_losses
new_problem	new_problems
wide_variety_of_symptom	wide_variety_of_symptoms
significant_synergy	significant_synergies
abnormal_formation_of_blood_clot	abnormal_formation_of_blood_clots
development_project	development_projects
chromosome_abnormality	chromosome_abnormalities
adjustment	adjustments
floater	floaters
foot_amputation	foot_amputations
acne_problem	acne_problems
o	os
serious_loss	serious_losses
colon_polyp	colon_polyps
aphid	aphids
name	names
poor_nutritional_habit	poor_nutritional_habits
indoor_air_quality_problem	indoor_air_quality_problems
b12_deficiency	b12_deficiencies
natural_occurrence	natural_occurrences
transudative_effusion	transudative_effusions
unearned_run	unearned_runs
involuntary_movement	involuntary_movements
increase_in_natural_disaster	increase_in_natural_disasters
endometrial_implant	endometrial_implants
competition_for_resource	competition_for_resources
sale_growth	sales_growth
carbonated_drink	carbonated_drinks
liver_spot	liver_spots
pressure_on_the_environment	pressures_on_the_environment
cooky	cookies
variety_of_thing	variety_of_things
multiple_vertebral_fracture	multiple_vertebral_fractures
inhalation_of_fibre_from_mesothelioma	inhalation_of_fibres_from_mesothelioma
cream	creams
breathing_of_fiber_from_asbestos	breathing_of_fibers_from_asbestos
peripheral_nerve	peripheral_nerves
b_virus	b_viruses
mental_health_disorder	mental_health_disorders
adverse_environmental_impact	adverse_environmental_impacts
roof_leak	roof_leaks
bite_wound	bite_wounds
grave_danger_to_the_patient	grave_danger_to_the_patients
noise_level	noise_levels
new_solution	new_solutions
asbestos-related_disease	asbestos-related_diseases
global_change	global_changes
metabolic_disease	metabolic_diseases
7,000_death	7,000_deaths
different_outcome	different_outcomes
economic_damage	economic_damages
physical_factor	physical_factors
defective_machine	defective_machines
cleveland_iron_and_nail_work	cleveland_iron_and_nail_works
lens	lenses
extreme_condition	extreme_conditions
man-made_greenhouse_gas_emission	man-made_greenhouse_gas_emissions
damaged_tissue	damaged_tissues
meal	meals
excessive_daily_calorie	excessive_daily_calories
27_death	27_deaths
multiple_gunshot_wound	multiple_gunshot_wounds
skin_tag	skin_tags
childhood_death	childhood_deaths
herbal_remedy	herbal_remedies
hypersensitivity_reaction	hypersensitivity_reactions
acne_outbreak	acne_outbreaks
better_service	better_services
admission	admissions
transient	transients
mental_mistake	mental_mistakes
green_onion	green_onions
congenital_deformity	congenital_deformities
posture_change	posture_changes
publication	publications
injury_to_the_ligament	injury_to_the_ligaments
mylar_balloon	mylar_balloons
failure_to_comply_with_regulation	failure_to_comply_with_regulations
hunger_feeling_to_fade_away	hunger_feelings_to_fade_away
tire_blowout	tire_blowouts
larger_amount	larger_amounts
cleanup_cost	cleanup_costs
larger_reward	larger_rewards
relief_of_symptom	relief_of_symptoms
tube_feeding	tube_feedings
defendant	defendants
seat_belt	seat_belts
milk_product	milk_products
painful_vertebral_compression_fracture	painful_vertebral_compression_fractures
higher_operating_cost	higher_operating_costs
positive_outcome	positive_outcomes
dopamine_agonist	dopamine_agonists
price_support	price_supports
pop-up	pop-ups
key_element	key_elements
trans_fatty_acid	trans_fatty_acids
boom	booms
voltage	voltages
intoxicated_driver	intoxicated_drivers
antioxidant	antioxidants
killer_disease	killer_diseases
finding	findings
severe_wound	severe_wounds
emergency_situation	emergency_situations
deposit	deposits
outside_influence	outside_influences
inhalation_of_high_concentration	inhalation_of_high_concentrations
wet_condition	wet_conditions
devastating_flood	devastating_floods
temperature_fluctuation	temperature_fluctuations
serious_reaction	serious_reactions
free_radical_in_our_body	free_radicals_in_our_body
free_radical_in_our_body	free_radicals_in_our_bodies
arthritic_condition	arthritic_conditions
thyroid_gland_problem	thyroid_gland_problems
opportunistic_pathogen	opportunistic_pathogens
melatonin_level	melatonin_levels
wound_infection	wound_infections
inactive_element	inactive_elements
accumulation_of_pu	accumulation_of_pus
specific_side_effect	specific_side_effects
transportation_accident	transportation_accidents
physical_craving	physical_cravings
unpleasant_odour	unpleasant_odours
claw	claws
damage_to_nerve	damage_to_nerves
social_harm	social_harms
social_tension	social_tensions
performance_issue	performance_issues
clog_artery	clog_arteries
fluctuation	fluctuations
damage_to_the_blood_vessel	damage_to_the_blood_vessels
altered_precipitation_pattern	altered_precipitation_patterns
unplanned_pregnancy	unplanned_pregnancies
laser_treatment	laser_treatments
retinal_degenerative_disease	retinal_degenerative_diseases
inaction	inactions
lithium_battery	lithium_batteries
high_level_of_sodium	high_levels_of_sodium
life_threatening_disease	life_threatening_diseases
compromise	compromises
additional_expense	additional_expenses
black_hole	black_holes
industrial_process	industrial_processes
lack_of_tear	lack_of_tears
misalignment_of_the_eye	misalignment_of_the_eyes
poor_food_choice	poor_food_choices
external_event	external_events
large_meal	large_meals
soft_bone	soft_bones
loss_of_body_fluid	loss_of_body_fluids
restructuring_charge	restructuring_charges
improper_lifting_technique	improper_lifting_techniques
ambiguity	ambiguities
acute_exacerbation	acute_exacerbations
psychotic_illness	psychotic_illnesses
civil_right_movement	civil_rights_movement
schism	schisms
chemical_agent	chemical_agents
substantial_fine	substantial_fines
high-risk_behavior	high-risk_behaviors
low_water_level	low_water_levels
harsh_detergent	harsh_detergents
production_of_dangerous_toxin	production_of_dangerous_toxins
multiple_biological_response	multiple_biological_responses
insufficient_fluid	insufficient_fluids
twin	twins
efficiency_measure	efficiency_measures
irrational_belief	irrational_beliefs
autoantibody	autoantibodies
nicotine_withdrawal_symptom	nicotine_withdrawal_symptoms
development	developments
anticonvulsant	anticonvulsants
water-soluble_vitamin	water-soluble_vitamins
hot_surface	hot_surfaces
diet_product	diet_products
asbestos_exposure	asbestos_exposures
bad_dream	bad_dreams
specific_disease	specific_diseases
clean_air_act_case	clean_air_act_cases
nighttime_awakening	nighttime_awakenings
skin_ulcer	skin_ulcers
painful_symptom	painful_symptoms
credit_problem	credit_problems
cancer_in_chicken	cancer_in_chickens
leg_ulcer	leg_ulcers
firecracker	firecrackers
degree_in_liberal_art	degrees_in_liberal_arts
good	goods
cox-2_enzyme	cox-2_enzymes
coastal_storm	coastal_storms
severe_respiratory_problem	severe_respiratory_problems
thing_to_work_for_good	things_to_work_for_good
civil_and_criminal_penalty	civil_and_criminal_penalties
paralysis_of_the_muscle	paralysis_of_the_muscles
vessel_strike	vessel_strikes
time_constraint	time_constraints
multiple_cancer	multiple_cancers
collaborative_effort	collaborative_efforts
visual_problem	visual_problems
human_health_effect	human_health_effects
foot_deformity	foot_deformities
victory	victories
weather_pattern_change	weather_pattern_changes
hole	holes
adverse_drug_effect	adverse_drug_effects
mechanical_failure	mechanical_failures
serious_yield_loss	serious_yield_losses
cutworm	cutworms
add-on	add-ons
tidal_current	tidal_currents
dimple	dimples
missed_opportunity	missed_opportunities
overactive_facial_muscle	overactive_facial_muscles
severe_illness	severe_illnesses
change_in_solar_activity	changes_in_solar_activity
sagging_breast	sagging_breasts
planetary_trend	planetary_trends
abnormal_protein	abnormal_proteins
significant_penalty	significant_penalties
trap	traps
under-inflated_tire	under-inflated_tires
snooze_treatment	snooze_treatments
genetic_difference	genetic_differences
100,000_crash	100,000_crashes
invasive_fungal_infection	invasive_fungal_infections
greater_cash_tax_payment	greater_cash_tax_payments
brake	brakes
contact	contacts
prescribing_error	prescribing_errors
crowded_condition	crowded_conditions
kidney_to_fail	kidneys_to_fail
plug	plugs
ailment_incident	ailments_incident
diabetes_medication	diabetes_medications
high_velocity	high_velocities
defective_medical_device	defective_medical_devices
replication_error	replication_errors
staffing_shortage	staffing_shortages
high_fat_diet	high_fat_diets
skin_disorder	skin_disorders
soft_tissue	soft_tissues
79,000_death	79,000_deaths
unexpected_delay	unexpected_delays
increased_profit	increased_profits
break-in	break-ins
sweaty_foot	sweaty_feet
ied	ieds
potential_hazard	potential_hazards
monoamine_oxidase_inhibitor	monoamine_oxidase_inhibitors
negative_action	negative_actions
heart_and_lung	heart_and_lungs
shorter_hospital_stay	shorter_hospital_stays
dead_zone	dead_zones
underwater_explosion	underwater_explosions
investment_decision	investment_decisions
many_problem	many_problems
worn_part	worn_parts
abnormal_pap_smear	abnormal_pap_smears
payday_loan	payday_loans
cognitive_disorder	cognitive_disorders
oh	ohss
reservoir	reservoirs
so2_emission	so2_emissions
damaging_free_radical	damaging_free_radicals
internal_problem	internal_problems
conception	conceptions
impaired_driver	impaired_drivers
entire_body_ache	entire_body_aches
physiological_factor	physiological_factors
doubt	doubts
air_bubble	air_bubbles
charged_particle	charged_particles
deficiency_of_vitamin	deficiency_of_vitamins
deficiency_of_vitamin	deficiencies_of_vitamins
hp	hps
skin_cell_to_shed_more_quickly	skin_cells_to_shed_more_quickly
backover_crash	backover_crashes
severe_wind	severe_winds
knee	knees
hip	hips
international_event	international_events
childhood_immunization	childhood_immunizations
pressure_change	pressure_changes
treaty	treaties
exposure_to_high_level	exposure_to_high_levels
lack_of_omega-3_fatty_acid	lack_of_omega-3_fatty_acids
estrogen_level	estrogen_levels
bike_accident	bike_accidents
impulse	impulses
