Source	Target	Comment
cancer	radioactive_gas	removed by SMT
cancer	pleurisy	removed by SMT
cancer	recurrence	removed by SMT
cancer	defect	removed by SMT
cancer	enlarged_prostate	removed by SMT
cancer	lingering_illness	removed by SMT
cancer	diarrhea	removed by SMT
cancer	spinal_cord_injury	removed by SMT
cancer	vomiting	removed by SMT
cancer	weakened_immune_system	removed by SMT
cancer	poison	removed by SMT
cancer	incontinence	removed by SMT
cancer	lung_damage	removed by SMT
cancer	struggle	removed by SMT
cancer	lung	removed by SMT
cancer	difficulty	removed by SMT
cancer	aging	removed by SMT
cancer	ailment	removed by SMT
cancer	food	removed by SMT
cancer	ill_health	removed by SMT
cancer	rapid_weight_loss	removed by SMT
cancer	deformity	removed by SMT
cancer	blood_clot	removed by SMT
cancer	danger	removed by SMT
cancer	early_menopause	removed by SMT
cancer	severe_anemia	removed by SMT
cancer	skin_problem	removed by SMT
cancer	bone_damage	removed by SMT
cancer	chest_pain	removed by SMT
cancer	osteoporosis	removed by SMT
cancer	cardiovascular_disease	removed by SMT
cancer	ulcerative_colitis	removed by SMT
cancer	night_sweat	removed by SMT
cancer	anxiety_disorder	removed by SMT
cancer	uncontrolled_cell_growth	removed by SMT
cancer	uncertainty	removed by SMT
cancer	neutropenia	removed by SMT
cancer	heart_problem	removed by SMT
cancer	narrowing	removed by SMT
cancer	intestinal_obstruction	removed by SMT
cancer	oxidative_damage	removed by SMT
cancer	seizure	removed by SMT
cancer	hysterectomy	removed by SMT
cancer	thrombocytopenia	removed by SMT
cancer	water	removed by SMT
cancer	disfigurement	removed by SMT
cancer	pulmonary_embolism	removed by SMT
cancer	sepsis	removed by SMT
cancer	disseminated_intravascular_coagulation	removed by SMT
cancer	necrotizing_fasciitis	removed by SMT
cancer	pericarditis	removed by SMT
cancer	gastrointestinal_bleeding	removed by SMT
harm	injury	removed by SMT
harm	disability	removed by SMT
harm	child	removed by SMT
harm	disease	removed by SMT
harm	pain	removed by SMT
health_hazard	respiratory_problem	removed by SMT
health_hazard	disease	removed by SMT
health_problem	injury	removed by SMT
health_problem	difficulty	removed by SMT
health_problem	delay	removed by SMT
health_problem	emergency	removed by SMT
health_problem	infertility	removed by SMT
health_problem	physical_damage	removed by SMT
health_problem	dementia	removed by SMT
health_problem	high_medical_bill	removed by SMT
health_problem	weak_immune_system	removed by SMT
health_problem	worry	removed by SMT
health_problem	low_blood_sugar	removed by SMT
health_problem	illness	removed by SMT
health_problem	diarrhea	removed by SMT
high_blood_pressure	cardiovascular_problem	removed by SMT
high_blood_pressure	blood_vessel_damage	removed by SMT
high_blood_pressure	anxiety	removed by SMT
high_blood_pressure	angina	removed by SMT
high_blood_pressure	confusion	removed by SMT
high_blood_pressure	hemorrhage	removed by SMT
high_blood_pressure	medication	removed by SMT
high_blood_pressure	side_effect	removed by SMT
high_blood_pressure	damage_to_the_eye	removed by SMT
high_blood_pressure	hair_loss	removed by SMT
high_blood_pressure	severe_problem	removed by SMT
high_blood_pressure	renal_failure	removed by SMT
high_blood_pressure	development	removed by SMT
high_blood_pressure	medical_problem	removed by SMT
high_blood_pressure	type_2_diabetes	removed by SMT
high_blood_pressure	cardiac_arrest	removed by SMT
high_blood_pressure	health_complication	removed by SMT
high_blood_pressure	osteoporosis	removed by SMT
high_blood_pressure	premature_ejaculation	removed by SMT
high_blood_pressure	serious_health_condition	removed by SMT
high_blood_pressure	failure	removed by SMT
high_blood_pressure	water_retention	removed by SMT
high_blood_pressure	serious_disease	removed by SMT
high_blood_pressure	sudden_death	removed by SMT
high_blood_pressure	nausea	removed by SMT
high_blood_pressure	abdominal_aortic_aneurysm	removed by SMT
high_blood_pressure	atrial_fibrillation	removed by SMT
high_blood_pressure	glaucoma	removed by SMT
high_blood_pressure	aortic_stenosis	removed by SMT
high_blood_pressure	myocardial_infarction	removed by SMT
stress	inflammation_in_the_body	removed by SMT
stress	virus	removed by SMT
stress	mental_breakdown	removed by SMT
stress	trouble	removed by SMT
stress	low_self-esteem	removed by SMT
stress	hair_follicle	removed by SMT
stress	chronic_inflammation	removed by SMT
stress	malnutrition	removed by SMT
stress	tic	removed by SMT
stress	premature_birth	removed by SMT
stress	major_disease	removed by SMT
stress	premature_death	removed by SMT
stress	candida	removed by SMT
stress	boredom	removed by SMT
stress	procrastination	removed by SMT
stress	challenge	removed by SMT
stress	adrenal_insufficiency	removed by SMT
stress	health	removed by SMT
stress	brain	removed by SMT
stress	appetite_loss	removed by SMT
stress	dry_mouth	removed by SMT
stress	depressive_symptom	removed by SMT
stress	dislocation	removed by SMT
stress	alcohol_consumption	removed by SMT
stress	gastrointestinal_bleeding	removed by SMT
stress	retirement	removed by SMT
stress	post-traumatic_stress_disorder	removed by SMT
stress	discouragement	removed by SMT
stress	reduction	removed by SMT
stress	mutation	removed by SMT
stress	drop	removed by SMT
stress	lethargy	removed by SMT
stress	scarring	removed by SMT
stress	dysbiosis	removed by SMT
stress	resignation	removed by SMT
stress	personal_injury	removed by SMT
stress	low_blood_sugar	removed by SMT
stress	cell_damage	removed by SMT
stress	tension_in_the_body	removed by SMT
stress	artery	removed by SMT
stress	somatic_symptom	removed by SMT
stress	change_in_the_brain	removed by SMT
stress	serious_side_effect	removed by SMT
stress	crash	removed by SMT
stress	skin_infection	removed by SMT
stress	gum_disease	removed by SMT
stress	disruption	removed by SMT
stress	qi_stagnation	removed by SMT
stress	muscle_stiffness	removed by SMT
stress	impairment	removed by SMT
stress	learning	removed by SMT
stress	chronic_disease	removed by SMT
stress	cellular_change	removed by SMT
stress	psychiatric_disorder	removed by SMT
stress	peptic_ulcer_disease	removed by SMT
stress	aggressive_behavior	removed by SMT
stress	breakage	removed by SMT
stress	environmental_factor	removed by SMT
stress	dementia	removed by SMT
stress	poor_blood_circulation	removed by SMT
stress	attention	removed by SMT
stress	vulnerability	removed by SMT
stress	sleep	removed by SMT
stress	drug_addiction	removed by SMT
stress	men	removed by SMT
stress	medical_complication	removed by SMT
stress	compromised_immune_system	removed by SMT
stress	tissue_damage	removed by SMT
stress	lost_productivity	removed by SMT
stress	loss_of_energy	removed by SMT
stress	leak	removed by SMT
stress	chemical_change_in_the_brain	removed by SMT
stress	neurological_damage	removed by SMT
stress	surgery	removed by SMT
stress	intense_anxiety	removed by SMT
stress	abnormal_behavior	removed by SMT
stress	mood_disorder	removed by SMT
stress	increased_incidence	removed by SMT
stress	prostate_cancer	removed by SMT
stress	alteration	removed by SMT
stress	muscle_breakdown	removed by SMT
stress	emotional_issue	removed by SMT
stress	financial_difficulty	removed by SMT
stress	blood_flow	removed by SMT
stress	abnormality	removed by SMT
stress	asthma_symptom	removed by SMT
stress	chronic_health_condition	removed by SMT
stress	duodenal_ulcer	removed by SMT
stress	malaise	removed by SMT
stress	cvd	removed by SMT
stress	habit	removed by SMT
stress	anxiousness	removed by SMT
stress	degenerative_change	removed by SMT
stress	paranoia	removed by SMT
stress	memory	removed by SMT
stress	argument	removed by SMT
stress	tooth_loss	removed by SMT
stress	variety_of_condition	removed by SMT
stress	stomach_upset	removed by SMT
stress	ulcerative_colitis	removed by SMT
stress	fatal_disease	removed by SMT
stress	rage	removed by SMT
stress	pe	removed by SMT
stress	physical_harm	removed by SMT
stress	gerd	removed by SMT
stress	preterm_labor	removed by SMT
stress	war	removed by SMT
stress	leptin_resistance	removed by SMT
stress	discontent	removed by SMT
stress	regret	removed by SMT
stress	scar_tissue	removed by SMT
stress	muscle_damage	removed by SMT
stress	experience	removed by SMT
stress	numbness	removed by SMT
stress	chemical_imbalance	removed by SMT
stress	defoliation	removed by SMT
stress	dyspepsia	removed by SMT
stress	despair	removed by SMT
stress	agitation	removed by SMT
stress	increased_inflammation	removed by SMT
stress	disease_progression	removed by SMT
stress	inefficiency	removed by SMT
stress	shortness_of_breath	removed by SMT
stress	cardiomyopathy	removed by SMT
procrastination	delay	removed by SMT
procrastination	pain	removed by SMT
procrastination	serious_problem	removed by SMT
procrastination	complication	removed by SMT
procrastination	poor_health	removed by SMT
procrastination	feeling_of_guilt	removed by SMT
accident	post-traumatic_stress_disorder	removed by SMT
accident	process	removed by SMT
accident	arthritis	removed by SMT
accident	issue	removed by SMT
accident	severe_brain_damage	removed by SMT
accident	neck	removed by SMT
accident	difficulty	removed by SMT
accident	brain	removed by SMT
accident	modification	removed by SMT
accident	hallucination	removed by SMT
accident	trouble	removed by SMT
accident	cardiac_arrest	removed by SMT
accident	sinking	removed by SMT
accident	blood_clot	removed by SMT
accident	leg_injury	removed by SMT
accident	outrage	removed by SMT
accident	serious_harm	removed by SMT
accident	eventual_death	removed by SMT
accident	power_outage	removed by SMT
accident	diagnosis	removed by SMT
accident	chronic_back_pain	removed by SMT
accident	pinched_nerve	removed by SMT
accident	hazard	removed by SMT
accident	mother_'s_death	removed by SMT
accident	development	removed by SMT
accident	loss_of_hearing	removed by SMT
accident	exposure	removed by SMT
accident	creation	removed by SMT
accident	gap	removed by SMT
accident	onset	removed by SMT
accident	relationship	removed by SMT
accident	suicide	removed by SMT
accident	mental_anguish	removed by SMT
accident	dislocation	removed by SMT
accident	medical_condition	removed by SMT
accident	debris	removed by SMT
accident	downtime	removed by SMT
accident	loss_of_consciousness	removed by SMT
accident	hospital_stay	removed by SMT
accident	hardship	removed by SMT
accident	strain	removed by SMT
accident	financial_hardship	removed by SMT
accident	medical_care	removed by SMT
accident	handicap	removed by SMT
accident	crisis	removed by SMT
accident	fractured_skull	removed by SMT
accident	emergency	removed by SMT
accident	carpal_tunnel_syndrome	removed by SMT
tbi	parkinson_'s_disease	removed by SMT
tbi	loss	removed by SMT
tbi	concussion	removed by SMT
tbi	irritability	removed by SMT
tbi	physical_limitation	removed by SMT
tbi	trauma	removed by SMT
disability	exclusion	removed by SMT
disability	benefit	removed by SMT
disability	stress	removed by SMT
disability	medical_condition	removed by SMT
disability	side-effects	removed by SMT
disability	emotional_difficulty	removed by SMT
disability	loneliness	removed by SMT
disability	misbehavior	removed by SMT
disability	handicap	removed by SMT
disability	medical_complication	removed by SMT
disability	experience	removed by SMT
disability	obstacle	removed by SMT
disability	social_problem	removed by SMT
disability	medical_problem	removed by SMT
disability	memory_loss	removed by SMT
disability	withdrawal	removed by SMT
disability	inconvenience	removed by SMT
disability	distress	removed by SMT
disability	weight_gain	removed by SMT
disability	health_problem	removed by SMT
disability	fear	removed by SMT
disability	learning_problem	removed by SMT
disability	manifestation	removed by SMT
disability	restriction	removed by SMT
disability	medical_expense	removed by SMT
disability	action	removed by SMT
memory_loss	confusion	removed by SMT
memory_loss	dementia	removed by SMT
memory_loss	cancer	removed by SMT
behavioral_problem	isolation	removed by SMT
impairment	condition	removed by SMT
impairment	misconduct	removed by SMT
impairment	immobility	removed by SMT
impairment	damage	removed by SMT
impairment	discrimination	removed by SMT
seizure	cardiac_arrest	removed by SMT
seizure	accident	removed by SMT
seizure	memory	removed by SMT
seizure	crash	removed by SMT
seizure	delirium	removed by SMT
seizure	ischemic_stroke	removed by SMT
seizure	charge	removed by SMT
seizure	memory_loss	removed by SMT
seizure	rhabdomyolysis	removed by SMT
seizure	spasm	removed by SMT
seizure	hormonal_change	removed by SMT
seizure	vision	removed by SMT
seizure	hearing_loss	removed by SMT
parkinson_'s_disease	disability	removed by SMT
parkinson_'s_disease	vascular_dementia	removed by SMT
parkinson_'s_disease	aging	removed by SMT
parkinson_'s_disease	constipation	removed by SMT
parkinson_'s_disease	autonomic_neuropathy	removed by SMT
loss	disease	removed by SMT
loss	bereavement	removed by SMT
loss	stress	removed by SMT
loss	sorrow	removed by SMT
loss	anemia	removed by SMT
loss	conflict	removed by SMT
loss	danger	removed by SMT
loss	layoff	removed by SMT
loss	cognitive_impairment	removed by SMT
loss	tremor	removed by SMT
loss	discouragement	removed by SMT
loss	prejudice	removed by SMT
loss	reaction	removed by SMT
loss	wrinkle	removed by SMT
loss	emotional_issue	removed by SMT
loss	healing	removed by SMT
loss	complication	removed by SMT
loss	property_damage	removed by SMT
loss	resistance	removed by SMT
loss	suicide	removed by SMT
loss	blindness	removed by SMT
loss	misery	removed by SMT
loss	concern	removed by SMT
loss	confusion	removed by SMT
loss	inconvenience	removed by SMT
loss	disorder	removed by SMT
loss	defect	removed by SMT
loss	devastation	removed by SMT
loss	increased_risk	removed by SMT
loss	fear	removed by SMT
loss	deterioration	removed by SMT
loss	landslide	removed by SMT
concussion	retirement	removed by SMT
concussion	dizziness	removed by SMT
concussion	injury	removed by SMT
concussion	damage	removed by SMT
concussion	serious_problem	removed by SMT
concussion	amnesia	removed by SMT
concussion	depression	removed by SMT
concussion	nausea	removed by SMT
concussion	memory	removed by SMT
concussion	concentration	removed by SMT
concussion	blurry_vision	removed by SMT
concussion	sleep_disturbance	removed by SMT
irritability	argument	removed by SMT
irritability	death	removed by SMT
irritability	mood_swing	removed by SMT
irritability	agitation	removed by SMT
irritability	symptom	removed by SMT
irritability	sweating	removed by SMT
irritability	hot_flash	removed by SMT
irritability	confusion	removed by SMT
physical_problem	autism	removed by SMT
physical_problem	emotional_problem	removed by SMT
physical_problem	thing	removed by SMT
physical_problem	discomfort	removed by SMT
physical_problem	mental_illness	removed by SMT
physical_problem	premature_ejaculation	removed by SMT
physical_problem	delay	removed by SMT
physical_problem	social_isolation	removed by SMT
epilepsy	behavior	removed by SMT
epilepsy	inflammation	removed by SMT
epilepsy	side_effect	removed by SMT
epilepsy	migraine	removed by SMT
epilepsy	condition	removed by SMT
epilepsy	blackout	removed by SMT
epilepsy	intellectual_disability	removed by SMT
epilepsy	brain_injury	removed by SMT
epilepsy	neurological_disorder	removed by SMT
epilepsy	health_problem	removed by SMT
epilepsy	behavioral_problem	removed by SMT
epilepsy	mortality	removed by SMT
physical_limitation	frustration	removed by SMT
mortality	population_decline	removed by SMT
mortality	attrition	removed by SMT
mortality	uncertainty	removed by SMT
mortality	fear	removed by SMT
mortality	decline	removed by SMT
mortality	arrhythmia	removed by SMT
mortality	delirium	removed by SMT
permanent_disability	death	removed by SMT
trauma	skin_condition	removed by SMT
trauma	drug_use	removed by SMT
trauma	increase	removed by SMT
trauma	sciatica	removed by SMT
trauma	head_injury	removed by SMT
trauma	rsd	removed by SMT
trauma	tissue_injury	removed by SMT
trauma	necrosis	removed by SMT
trauma	vision_loss	removed by SMT
trauma	urethral_stricture	removed by SMT
trauma	shingle	removed by SMT
trauma	experience	removed by SMT
trauma	lymphedema	removed by SMT
trauma	concussion	removed by SMT
trauma	dic	removed by SMT
trauma	hallucination	removed by SMT
trauma	facial_paralysis	removed by SMT
trauma	hospitalization	removed by SMT
trauma	economic_problem	removed by SMT
trauma	interruption	removed by SMT
trauma	stricture	removed by SMT
trauma	difficulty	removed by SMT
trauma	consequence	removed by SMT
trauma	abscess	removed by SMT
trauma	anger	removed by SMT
trauma	imbalance	removed by SMT
trauma	deafness	removed by SMT
trauma	emotional_problem	removed by SMT
trauma	serious_injury	removed by SMT
trauma	panic_attack	removed by SMT
trauma	multiple_sclerosis	removed by SMT
trauma	oa	removed by SMT
trauma	psychosis	removed by SMT
trauma	dysfunction	removed by SMT
trauma	post_traumatic_stress_disorder	removed by SMT
trauma	bruise	removed by SMT
trauma	tension	removed by SMT
trauma	discomfort	removed by SMT
trauma	lameness	removed by SMT
trauma	dementia	removed by SMT
trauma	stiffness	removed by SMT
trauma	visual_loss	removed by SMT
trauma	permanent_brain_damage	removed by SMT
trauma	hole	removed by SMT
trauma	uveitis	removed by SMT
trauma	physical_injury	removed by SMT
trauma	spinal_fracture	removed by SMT
trauma	isolation	removed by SMT
trauma	hypothyroidism	removed by SMT
trauma	learning_problem	removed by SMT
trauma	life-threatening_condition	removed by SMT
trauma	breast_cancer	removed by SMT
trauma	subluxation	removed by SMT
trauma	episode	removed by SMT
trauma	memory	removed by SMT
trauma	peripheral_neuropathy	removed by SMT
trauma	suicide	removed by SMT
trauma	serious_condition	removed by SMT
trauma	shame	removed by SMT
trauma	leakage	removed by SMT
trauma	negative_emotion	removed by SMT
trauma	peripheral_nerve_damage	removed by SMT
trauma	double_vision	removed by SMT
trauma	corruption	removed by SMT
trauma	foot_pain	removed by SMT
trauma	ocd	removed by SMT
trauma	cholecystitis	removed by SMT
trauma	structural_change	removed by SMT
trauma	edema	removed by SMT
trauma	abrasion	removed by SMT
trauma	hip_pain	removed by SMT
trauma	strabismus	removed by SMT
trauma	laryngitis	removed by SMT
trauma	deep_vein_thrombosis	removed by SMT
trauma	spinal_stenosis	removed by SMT
trauma	abdominal_aortic_aneurysm	removed by SMT
trauma	systemic_inflammatory_response_syndrome	removed by SMT
repression	terrorism	removed by SMT
repression	anxiety	removed by SMT
repression	rebellion	removed by SMT
repression	madness	removed by SMT
repression	explosion	removed by SMT
repression	harm	removed by SMT
repression	war	removed by SMT
repression	frustration	removed by SMT
resistance	destruction	removed by SMT
resistance	serious_injury	removed by SMT
resistance	disease	removed by SMT
resistance	loss_of_energy	removed by SMT
resistance	confusion	removed by SMT
resistance	conflict	removed by SMT
resistance	illness	removed by SMT
resistance	violence	removed by SMT
resistance	heating	removed by SMT
resistance	change	removed by SMT
mental_illness	morbidity	removed by SMT
mental_illness	abuse	removed by SMT
mental_illness	homosexuality	removed by SMT
mental_illness	attack	removed by SMT
mental_illness	condition	removed by SMT
mental_illness	delusion	removed by SMT
mental_illness	disorder	removed by SMT
mental_illness	burden	removed by SMT
mental_illness	isolation	removed by SMT
mental_illness	functional_limitation	removed by SMT
mental_illness	paranoia	removed by SMT
mental_illness	job_loss	removed by SMT
mental_illness	trauma	removed by SMT
mental_illness	oral_health_problem	removed by SMT
terrorism	insecurity	removed by SMT
terrorism	risk	removed by SMT
terrorism	post_traumatic_stress_disorder	removed by SMT
terrorism	crisis	removed by SMT
terrorism	casualty	removed by SMT
terrorism	murder	removed by SMT
terrorism	terror	removed by SMT
suffering	stress	removed by SMT
suffering	joy	removed by SMT
suffering	distress	removed by SMT
suffering	growth	removed by SMT
suffering	wisdom	removed by SMT
suffering	problem	removed by SMT
suffering	permanent_damage	removed by SMT
suffering	depression	removed by SMT
conflict	revolution	removed by SMT
conflict	hatred	removed by SMT
conflict	aggression	removed by SMT
conflict	prejudice	removed by SMT
conflict	denial	removed by SMT
conflict	abuse	removed by SMT
conflict	food_shortage	removed by SMT
conflict	serious_damage	removed by SMT
conflict	disruption	removed by SMT
conflict	negative_emotion	removed by SMT
conflict	congestion	removed by SMT
conflict	psychological_trauma	removed by SMT
conflict	creation	removed by SMT
conflict	environmental_destruction	removed by SMT
conflict	fatigue	removed by SMT
conflict	absenteeism	removed by SMT
conflict	alcohol	removed by SMT
conflict	inefficiency	removed by SMT
conflict	regret	removed by SMT
conflict	imprisonment	removed by SMT
conflict	collapse	removed by SMT
conflict	emotion	removed by SMT
conflict	departure	removed by SMT
conflict	starvation	removed by SMT
conflict	malnutrition	removed by SMT
conflict	arrest	removed by SMT
conflict	behavioral_problem	removed by SMT
conflict	confrontation	removed by SMT
conflict	feeling_of_guilt	removed by SMT
conflict	innovation	removed by SMT
conflict	competition	removed by SMT
conflict	struggle	removed by SMT
conflict	misery	removed by SMT
conflict	guilt	removed by SMT
conflict	despair	removed by SMT
anxiety	repression	removed by SMT
anxiety	mistake	removed by SMT
anxiety	post-traumatic_stress_disorder	removed by SMT
anxiety	lethargy	removed by SMT
anxiety	social_isolation	removed by SMT
anxiety	upset_stomach	removed by SMT
anxiety	poor_performance	removed by SMT
anxiety	worry	removed by SMT
anxiety	digestive_problem	removed by SMT
anxiety	argument	removed by SMT
anxiety	poor_sleep	removed by SMT
anxiety	effect	removed by SMT
anxiety	anxiety_disorder	removed by SMT
anxiety	hair_thinning	removed by SMT
anxiety	anemia	removed by SMT
anxiety	alcoholism	removed by SMT
anxiety	memory_issue	removed by SMT
anxiety	silence	removed by SMT
anxiety	tear	removed by SMT
anxiety	low_self_esteem	removed by SMT
anxiety	muscle_tightness	removed by SMT
anxiety	unrest	removed by SMT
anxiety	pressure	removed by SMT
anxiety	muscle_pain	removed by SMT
anxiety	difficulty_in_breathing	removed by SMT
anxiety	side_effect	removed by SMT
anxiety	emotional_problem	removed by SMT
anxiety	ailment	removed by SMT
anxiety	accident	removed by SMT
anxiety	denial	removed by SMT
anxiety	tic	removed by SMT
anxiety	resistance	removed by SMT
anxiety	psychosis	removed by SMT
anxiety	lack_of_motivation	removed by SMT
anxiety	habit	removed by SMT
anxiety	menopause	removed by SMT
anxiety	sleep	removed by SMT
anxiety	poor_health	removed by SMT
anxiety	baldness	removed by SMT
anxiety	unhappiness	removed by SMT
anxiety	behaviour	removed by SMT
anxiety	resentment	removed by SMT
anxiety	relationship_problem	removed by SMT
anxiety	adhd	removed by SMT
anxiety	serious_problem	removed by SMT
anxiety	chemical_imbalance	removed by SMT
anxiety	isolation	removed by SMT
anxiety	high_bp	removed by SMT
anxiety	sin	removed by SMT
anxiety	release_of_adrenaline	removed by SMT
anxiety	sleep_deprivation	removed by SMT
anxiety	shallow_breathing	removed by SMT
anxiety	stomach_upset	removed by SMT
anxiety	trouble	removed by SMT
anxiety	night_sweat	removed by SMT
anxiety	asthma	removed by SMT
anxiety	distraction	removed by SMT
anxiety	hot_flash	removed by SMT
anxiety	relapse	removed by SMT
anxiety	low_birth_weight	removed by SMT
anxiety	occurrence	removed by SMT
anxiety	emotional_distress	removed by SMT
anxiety	despair	removed by SMT
anxiety	sleep_loss	removed by SMT
anxiety	inflammation	removed by SMT
anxiety	question	removed by SMT
anxiety	binge_eating	removed by SMT
anxiety	infection	removed by SMT
anxiety	reaction	removed by SMT
anxiety	decrease	removed by SMT
anxiety	inaction	removed by SMT
anxiety	arrhythmia	removed by SMT
anxiety	joint_pain	removed by SMT
anxiety	nervous_tension	removed by SMT
anxiety	irritation	removed by SMT
anxiety	dyspareunia	removed by SMT
anxiety	itchy_skin	removed by SMT
anxiety	frequent_urination	removed by SMT
anxiety	sinus_tachycardia	removed by SMT
unhappiness	depression	removed by SMT
unhappiness	tension	removed by SMT
unrest	riot	removed by SMT
unrest	instability	removed by SMT
unrest	death	removed by SMT
unrest	war	removed by SMT
rebellion	problem	removed by SMT
rebellion	fear	removed by SMT
rebellion	bitterness	removed by SMT
rebellion	freedom	removed by SMT
rebellion	sin	removed by SMT
rebellion	collapse	removed by SMT
rebellion	sickness	removed by SMT
rebellion	hardship	removed by SMT
rebellion	violence	removed by SMT
shame	repentance	removed by SMT
shame	distress	removed by SMT
shame	isolation	removed by SMT
shame	thought	removed by SMT
shame	disease	removed by SMT
shame	fear	removed by SMT
shame	damage	removed by SMT
shame	emotional_distress	removed by SMT
shame	overeating	removed by SMT
shame	abortion	removed by SMT
shame	tear	removed by SMT
guilt	suicide	removed by SMT
guilt	paralysis	removed by SMT
guilt	separation	removed by SMT
guilt	abuse	removed by SMT
guilt	punishment	removed by SMT
guilt	psychological_problem	removed by SMT
guilt	nightmare	removed by SMT
guilt	denial	removed by SMT
guilt	paranoia	removed by SMT
guilt	vision	removed by SMT
guilt	emotion	removed by SMT
guilt	difficulty	removed by SMT
guilt	impotence	removed by SMT
guilt	distress	removed by SMT
madness	murder	removed by SMT
madness	suicide	removed by SMT
madness	destruction	removed by SMT
explosion	landslide	removed by SMT
explosion	wound	removed by SMT
explosion	sinking	removed by SMT
explosion	serious_damage	removed by SMT
explosion	collapse	removed by SMT
explosion	civilian_casualty	removed by SMT
explosion	catastrophic_injury	removed by SMT
explosion	havoc	removed by SMT
explosion	blindness	removed by SMT
explosion	flooding	removed by SMT
explosion	effect	removed by SMT
explosion	excitement	removed by SMT
war	morbidity	removed by SMT
war	sorrow	removed by SMT
war	insanity	removed by SMT
war	unemployment	removed by SMT
war	controversy	removed by SMT
war	american_revolution	removed by SMT
war	incident	removed by SMT
war	shame	removed by SMT
war	trial	removed by SMT
war	ill-health	removed by SMT
war	drop	removed by SMT
war	prosperity	removed by SMT
war	setback	removed by SMT
war	damage_to_property	removed by SMT
war	consequence	removed by SMT
war	side_effect	removed by SMT
war	environmental_destruction	removed by SMT
war	stagnation	removed by SMT
war	emergency_situation	removed by SMT
war	discontent	removed by SMT
war	cost	removed by SMT
war	isolation	removed by SMT
war	pressure	removed by SMT
war	variation	removed by SMT
war	distortion	removed by SMT
war	anger	removed by SMT
war	increase	removed by SMT
war	great_depression	removed by SMT
war	loss_of_property	removed by SMT
war	battle	removed by SMT
war	psychological_stress	removed by SMT
war	deficit	removed by SMT
war	psychological_trauma	removed by SMT
frustration	confusion	removed by SMT
frustration	action	removed by SMT
frustration	withdrawal	removed by SMT
frustration	emotion	removed by SMT
frustration	severe_depression	removed by SMT
frustration	discontent	removed by SMT
frustration	division	removed by SMT
frustration	hostility	removed by SMT
frustration	incident	removed by SMT
frustration	argument	removed by SMT
frustration	abuse	removed by SMT
frustration	poor_performance	removed by SMT
frustration	illness	removed by SMT
frustration	psychological_problem	removed by SMT
frustration	death	removed by SMT
frustration	inaction	removed by SMT
frustration	unhappiness	removed by SMT
frustration	turnover	removed by SMT
frustration	irritation	removed by SMT
frustration	feeling	removed by SMT
frustration	agitation	removed by SMT
frustration	error	removed by SMT
frustration	guilt	removed by SMT
frustration	suicide	removed by SMT
frustration	disease	removed by SMT
brain_damage	hallucination	removed by SMT
brain_damage	intellectual_disability	removed by SMT
brain_damage	impairment	removed by SMT
brain_damage	adhd	removed by SMT
brain_damage	crime	removed by SMT
brain_damage	psychiatric_disorder	removed by SMT
brain_damage	complication	removed by SMT
brain_damage	psychosis	removed by SMT
brain_damage	health_problem	removed by SMT
brain_damage	difficulty	removed by SMT
brain_damage	mental_disorder	removed by SMT
cerebral_palsy	disorder	removed by SMT
cerebral_palsy	movement_disorder	removed by SMT
cerebral_palsy	scoliosis	removed by SMT
cerebral_palsy	learning_disability	removed by SMT
cerebral_palsy	foot_drop	removed by SMT
cerebral_palsy	physical_limitation	removed by SMT
cerebral_palsy	functional_limitation	removed by SMT
cerebral_palsy	deafness	removed by SMT
cerebral_palsy	injury	removed by SMT
cerebral_palsy	quadriplegia	removed by SMT
cerebral_palsy	pain	removed by SMT
cerebral_palsy	cognitive_impairment	removed by SMT
cerebral_palsy	spasm	removed by SMT
cerebral_palsy	tremor	removed by SMT
cerebral_palsy	strabismus	removed by SMT
cerebral_palsy	deformity	removed by SMT
cp	pain	removed by SMT
autism	complication	removed by SMT
autism	stress	removed by SMT
autism	brain_damage	removed by SMT
autism	mental_health_issue	removed by SMT
mental_retardation	symptom	removed by SMT
mental_retardation	behavior_problem	removed by SMT
mental_retardation	hearing_loss	removed by SMT
mental_retardation	disease	removed by SMT
mental_retardation	developmental_disability	removed by SMT
amnesia	anxiety	removed by SMT
disorder	neurological_problem	removed by SMT
disorder	paralysis	removed by SMT
disorder	fainting	removed by SMT
disorder	impotence	removed by SMT
disorder	neck_pain	removed by SMT
disorder	early_death	removed by SMT
disorder	constipation	removed by SMT
disorder	cough	removed by SMT
disorder	social_isolation	removed by SMT
disorder	lack_of_sleep	removed by SMT
disorder	psychiatric_disorder	removed by SMT
disorder	harm	removed by SMT
disorder	tic	removed by SMT
disorder	cognitive_impairment	removed by SMT
disorder	renal_failure	removed by SMT
disorder	metabolic_syndrome	removed by SMT
disorder	limitation	removed by SMT
disorder	schizophrenia	removed by SMT
disorder	health_issue	removed by SMT
disorder	bad_breath	removed by SMT
disorder	joint_pain	removed by SMT
disorder	low_back_pain	removed by SMT
disorder	diarrhoea	removed by SMT
disorder	ringing_in_the_ear	removed by SMT
disorder	soreness	removed by SMT
disorder	fertility_problem	removed by SMT
disorder	osteoarthritis	removed by SMT
disorder	autoimmune_disease	removed by SMT
disorder	developmental_abnormality	removed by SMT
disorder	loss	removed by SMT
disorder	rash	removed by SMT
disorder	physical_disability	removed by SMT
disorder	joint_inflammation	removed by SMT
disorder	heart_attack	removed by SMT
